score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
8.0,Great room facilities with minor issues,"I got the Deluxe Double.Room facilities -  There was a microwave, fridge, iron + ironing board, full tea/coffee amenities, light switches with individual controls, large 'modern' TV, hairdryer, safety box/locker, many large mirrors and great air conditioning/heatingIT facilities - There was a whole panel of ports (i.e. HDMI, USB) to connect to the TV and many sockets (at least 4?)Bathroom - I loved the shower! There were 2 shower options, a regular shower head and another that is attached to the ceiling right above you. Water pressure + heating was excellent. Bathroom amenities provided - soap, shampoo, conditioner, extra toilet rolls, lotion.Room service - food was reasonably priced and fairly cheap for a hotel and halal options available. Location - literally just about a minute walk to tube station (Earl's Court) with many grocery stores/ restaurants nearby.","Customer care - I waited at the reception to check in for quite a while. They were busy to begin with which I understood. But when they served another customer before me who just arrived, I was a little annoyed. Also, the receptionist dealing with my check in was sneezing/coughing multiple times into their bare hands which I was uncomfortable with as they were handling my debit card and room key card. At least they apologised but I would have preferred if they washed their hands rather than just squirt a tiny bit of sanitiser.The bed - the double bed was huge, but it was two single beds put together so I couldn't sleep in the middle. Plus, both mattresses had different ""firmness"" with one more firm and the other that sunk in. Old(ish) furniture/ carpet - Furniture looks a bit run down and the chair in the room at the desk sunk in and was uncomfortable (but it's not terrible). Carpet was also not very clean with some stains (but I turned a blind eye to this)Lift - it was so much slower than most lifts, even at cheaper hotels (I could walk up the stairs to the 4th floor faster than the lift) BUT having a lift is better than no lift so it's not the worst. There was only one lift though.",United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,September 2022,2 September 2022,,
8.0,Very good,"The hotel was in an excellent location and it was nice, clean, and comfortable.",,United Kingdom,Deluxe Double Room,2 nights ·,Family,August 2022,2 September 2022,,
9.0,Superb,"Very nice staff, clean rooms, comfy bed, modern bathroom","The amenities are a bit old, especially since the ventilation in the bathroom is non existent, some amenities were rusty",Austria,Superior Double Room,5 nights ·,Couple,August 2022,2 September 2022,,
9.0,Good value for money,deluxe double was great.  big and tidy.  good facilities in the room.,TV had no signal and the shower had a blocked drain.,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,1 September 2022,,
8.0,"Great location for visiting London, clean hotel with helpful staff",Fantastic location and staff were very helpful.,The towels were small and thin - a small negative but disappointing none the less.,United Kingdom,Deluxe Twin Room,1 night ·,Family,August 2022,1 September 2022,,
9.0,Superb,The staff were great and friendly very helpful,"The only fault that I found was at breakfast the beans were not very hot, and that's all probably just an oversight.And I was not going to complain about something so trivial because they really looked after usBeen twice before so you don't go back if you don't like it, we felt very comfortableRegards to the team back thereRegards Paul and Angela",United Kingdom,Superior Double Room,4 nights ·,Couple,August 2022,31 August 2022,,
9.0,A great place to stay when visiting London.,All of the staff were both friendly and efficient. The room was serviced and the bed linen changed every day. The restaurant was of a good standard and not over priced. All in all it was a very pleasant experience.,"There was not much to dislike. The plumbing (bath waste) needs some attention, the fridge needs to be secured properly. These are minor issues.",Australia,Deluxe Double Room,5 nights ·,Couple,August 2022,31 August 2022,,
8.0,Very good,RoomCleanlinessLocation,Corridor cleanliness Basement room location,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2022,31 August 2022,,
9.0,Fabulous stay,Great hotel very quiet and spotlessly clean  staff were helpful and efficient,,United Kingdom,Superior Double Room,3 nights ·,Family,August 2022,30 August 2022,1,
7.0,Good value hotel in a great location,Great location with lots of bars/restaurants a short walkaway. Also a short walk to the subway station.Friendly staff and although we were given a basement room it was a decent size.,Bathroom was a little tired and the bath/shower very slippery,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,30 August 2022,,
8.0,Very good,Good location for exploring on foot and near tube station. Quiet. Very good breakfast.,,United Kingdom,Club Double Room,4 nights ·,Family,August 2022,30 August 2022,,
8.0,Very good,location,it needs to be upgraded,United States,Deluxe Double Room,1 night ·,Solo traveller,August 2022,30 August 2022,,
